kind,id,title,description,scope,default_slots,icon,ability_type
ability,laser_eyes,Laser Eyes,"Two beams, converging on whatever you are looking at. They cut everything standing along their length, not only what they land on. Modifier slots change how the beams leave the eyes.",ability,3,res://assets/runtime/abilities/icons/laser_eyes.svg,beam
ability,kame,Kame,"Both arms forward. One long burst from the hands roots you while it fires. You can still look around to steer it, but looking is slower. Much longer range than Laser Eyes.",ability,3,res://assets/runtime/abilities/icons/kame.svg,beam
ability,meteor_punch,Meteor Punch,"Fist out, and go. From the air you dive; from your feet you launch flat and land in a crater of your own making.",ability,3,res://assets/runtime/abilities/icons/meteor_punch.svg,misc
ability,hero_punch,Hero Punch,"Hold to throw alternating left and right jabs. Each punch hits whatever is in front of the fist.",ability,3,res://assets/runtime/abilities/icons/hero_punch.svg,misc
ability,starfire,Starfire,"Hold to toss blazing energy disks from alternating hands. Each disk bursts on contact.",ability,3,res://assets/runtime/abilities/icons/starfire.svg,projectile
ability,grapple,Grapple,"Grab a target near the crosshair, carry them up, then drive them back into the ground.",ability,3,res://assets/runtime/abilities/icons/grapple.svg,misc
ability,nuke,Nuke,"Launch a giant energy core. Three shots. Its detonation tears a crater and hurls everything nearby.",ability,4,res://assets/runtime/abilities/icons/nuke.svg,projectile
ability,mini_nuke,Mini Nuke,"A smaller nuke. Five shots. The core flies faster and farther, then bursts. Upgrade damage, size, range, and knockback.",ability,3,res://assets/runtime/abilities/icons/mini_nuke.svg,projectile
ability,lasso,Lasso,"Fire a physical string that tethers a target. Hold to swing, release to throw.",ability,3,res://assets/runtime/abilities/icons/lasso.svg,misc
ability,wall,Wall,"Cast an indestructible translucent barrier. Upgrade it to slide forward, burn on contact, or close into a house around you.",ability,3,res://assets/runtime/abilities/icons/wall.svg,misc
ability,nausicaa,Nausicaa,"Sweep a short eye laser across terrain. Painted marks erupt in sequence.",ability,3,res://assets/runtime/abilities/icons/nausicaa.svg,beam
ability,lightning,Lightning,"One bolt from the eyes. It snaps onto a body, then jumps to a nearby one. Upgrade Arcs to chain farther, and Shock to lock victims in a freeze-and-twitch pulse.",ability,3,res://assets/runtime/abilities/icons/lightning.svg,beam
ability,light_bolt,Light Bolt,"Hold to spray small pulsating purple-pink bolts from the eyes, like a submachine gun. Upgrade damage, speed, range, and the usual combat stats.",ability,3,res://assets/runtime/abilities/icons/light_bolt.svg,projectile
ability,icicle,Icicle,"Hold to throw sharp icicles from alternating fists, with the same jabs as Starfire. Hits freeze, then a small white frost cloud applies cold without damage. Upgrade Cold to strengthen the frost and the burst.",ability,3,res://assets/runtime/abilities/icons/icicle.svg,projectile
ability,teleport,Teleport,"Throw a glowing white marker. It arcs, leaves a trail until it lands, and warps you there. No damage. Upgrade Swap to trade places with a struck mob.",ability,3,res://assets/runtime/abilities/icons/teleport.svg,projectile
ability,fus,Fus,"Scrunch in and bellow. A bright green force cone bursts forward, chips what it hits, and throws them a long way.",ability,3,res://assets/runtime/abilities/icons/fus.svg,projectile
ability,roar,Roar,"Scrunch in, then bellow. The shockwave knocks enemies back and chips them.",ability,3,res://assets/runtime/abilities/icons/roar.svg,shockwave
ability,toxic_blast,Toxic Blast,"The same roar, but the shockwave poisons anything it touches.",ability,3,res://assets/runtime/abilities/icons/toxic_blast.svg,shockwave
ability,charming_aura,Charming Aura,"Roar a pink shockwave that charms enemies into fighting each other.",ability,3,res://assets/runtime/abilities/icons/charming_aura.svg,shockwave
ability,freeze_blast,Freeze Blast,"Roar a frost shockwave that freezes enemies in place.",ability,3,res://assets/runtime/abilities/icons/freeze_blast.svg,shockwave
ability,static_field,Static Field,"Stand still for a second, then raise a sphere from your chest. Mobs that enter are jolted and shocked. The field fades over time.",ability,3,res://assets/runtime/abilities/icons/static_field.svg,field
ability,toxic_field,Toxic Field,"Stand still for a second, then raise a poison sphere from your chest. Mobs inside keep stacking toxin. The field fades over time.",ability,3,res://assets/runtime/abilities/icons/toxic_field.svg,field
ability,freeze_field,Freeze Field,"Stand still for a second, then raise a frost sphere from your chest. Mobs and shots inside crawl. The field fades over time.",ability,3,res://assets/runtime/abilities/icons/freeze_field.svg,field
ability,healing_field,Healing Field,"Stand still for a second, then raise a warm sphere from your chest. Standing inside heals you. The field fades over time.",ability,3,res://assets/runtime/abilities/icons/healing_field.svg,field
ability,overdrive,Overdrive,"Scrunch in and bellow. For a short time every stat jumps, you grow, and mods seated here power your other abilities.",ability,1,res://assets/runtime/abilities/icons/overdrive.svg,misc
modifier,wobble,Wobble,"Fits beam abilities. The beams travel as a wobbling wave instead of a straight line.",type_specific,0,res://assets/runtime/abilities/icons/wobble.svg,
modifier,big,Big,"Makes the ability it sits on larger. Starts small and grows exponentially through level 10.",generic,0,res://assets/runtime/abilities/icons/big.svg,
modifier,bubble,Bubble,"Fits beam, shockwave, projectile, field, and punch abilities. Leaves glowing blue orbs that pulse, linger, and pop.",type_specific,0,res://assets/runtime/abilities/icons/bubble.svg,
modifier,linger,Linger,"Fits beam, shockwave, projectile, field, and punch abilities. Leaves iridescent clouds that carry the host effect.",type_specific,0,res://assets/runtime/abilities/icons/linger.svg,
modifier,clip,Clip,"Fits limited-use abilities. Doubles the shots. Upgrade to triple, then quadruple.",type_specific,0,res://assets/runtime/abilities/icons/clip.svg,
modifier,endless,Endless,"Fits limited-use abilities. Never runs out of shots.",type_specific,0,res://assets/runtime/abilities/icons/endless.svg,
modifier,toxic,Toxic,"Adds stacking poison to attacks that deal damage or apply effects. Two cards add together. Scales with Elemental. Wall needs Firewall.",type_specific,0,res://assets/runtime/abilities/icons/toxic.svg,
modifier,shock,Shock,"Adds a lock-and-twitch jolt to attacks that deal damage or apply effects. Two cards last longer. Scales with Elemental. Wall needs Firewall.",type_specific,0,res://assets/runtime/abilities/icons/shock.svg,
modifier,charm,Charm,"Charms enemies hit by this attack, including blasts that trail off. Two cards last longer. Scales with Elemental. Wall needs Firewall.",type_specific,0,res://assets/runtime/abilities/icons/charm.svg,
modifier,ice,Ice,"Freezes what this attack hits. On a field it also slows bodies and shots inside. Two cards add together. Scales with Elemental. Wall needs Firewall.",type_specific,0,res://assets/runtime/abilities/icons/ice.svg,
modifier,multi,Multi Shot,"Fits most attacks. Starts at two splits. Beams fan to 45°, shots fork after they leave, walls stand side by side, and blasts, fields, and punches repeat. Upgrade to five.",type_specific,0,res://assets/runtime/abilities/icons/multi.svg,
modifier,reach,Reach,"Fits beams and projectiles. They shoot farther, and Far Cast starts them 2 meters in front of you. Upgrade both. Other seated mods use the new origin and reach.",type_specific,0,res://assets/runtime/abilities/icons/reach.svg,
modifier,bounce,Bounce,"Fits beams and projectiles. They ricochet off what they hit. Explosives still burst on each bounce and again when they finally land. Upgrade for more bounces. Other seated mods, including Bubble, follow the new path.",type_specific,0,res://assets/runtime/abilities/icons/bounce.svg,
modifier,impact_cast,Impact Cast,"Fits beams and projectiles. When they hit, your other equipped abilities fire from the impact in a random direction. Those copies do not spend ammo or cooldown.",type_specific,0,res://assets/runtime/abilities/icons/impact_cast.svg,
modifier,homing,Homing,"Fits beams, projectiles, and punches. Beams arc toward mobs, shots turn, and punches lock on. Upgrade pull and seek range. Also makes Bubble orbs and Linger clouds chase.",type_specific,0,res://assets/runtime/abilities/icons/homing.svg,
